# frequency, power_density
2.314000000000000057e+01 1.623610235899884628e+02
2.337635316807533314e+01 1.220044629123503483e+02
2.361270633615066217e+01 2.178929888717596697e+01
2.384905950422599119e+01 3.445994950275112245e+01
2.408541267230132021e+01 7.703539036709465826e+00
2.432176584037664924e+01 1.553160259467257731e+01
2.455811900845197826e+01 2.433664538256814467e+02
2.479447217652730728e+01 3.130259116221295130e+02
2.503082534460263986e+01 1.485067991794716136e+02
2.526717851267796888e+01 5.606655929195907362e+01
2.550353168075329791e+01 3.382461761202513344e+02
2.573988484882862693e+01 8.808258550650643883e+02
2.597623801690395595e+01 3.872636437356306942e+02
2.621259118497928498e+01 4.804308981155026004e+01
2.644894435305461400e+01 4.155555594575417899e+02
2.668529752112994657e+01 1.308113988497224796e+02
2.692165068920527560e+01 5.835072500528848849e+01
2.715800385728060462e+01 1.714227147672079354e+02
2.739435702535593364e+01 4.535419587034793949e+02
2.763071019343126267e+01 3.626970070558916515e+00
2.786706336150659169e+01 5.781974219498233651e+02
2.810341652958192071e+01 6.202237672233420653e+02
2.833976969765725329e+01 2.522525619448979626e+02
2.857612286573258231e+01 4.446683863257212010e+02
2.881247603380791134e+01 8.912241559567648892e+02
2.904882920188324036e+01 5.317168641887051308e+02
2.928518236995856938e+01 1.642290611902414526e+02
2.952153553803389840e+01 2.837686394630582640e+02
2.975788870610922743e+01 3.349010394534435591e+02
2.999424187418456000e+01 3.231164883304458044e+02
3.023059504225988903e+01 2.354299641524117419e+02
3.046694821033521805e+01 1.677020392112293052e+02
3.070330137841054352e+01 1.363496164786531835e+03
3.093965454648587610e+01 1.108958095518235041e+03
3.117600771456120867e+01 2.318069117730329154e+01
3.141236088263653414e+01 5.402558227377448929e+02
3.164871405071186317e+01 1.029559182339099124e+02
3.188506721878719574e+01 3.355488343892831153e+02
3.212142038686252477e+01 8.039127046453146477e+02
3.235777355493785024e+01 2.541589262221391152e+02
3.259412672301318281e+01 1.297229126358675444e+02
3.283047989108851539e+01 6.453549756673924094e+02
3.306683305916384796e+01 5.974982780507067446e+02
3.330318622723917343e+01 5.017985800787280226e+01
3.353953939531449890e+01 3.623416270115819771e+02
3.377589256338983148e+01 5.141763918378438802e+02
3.401224573146516406e+01 3.309835211717189623e+02
3.424859889954048953e+01 4.483969194778731548e+01
3.448495206761581500e+01 1.315491189216178896e+02
3.472130523569114757e+01 2.688523318978955672e+02
3.495765840376648015e+01 6.224563274742578187e+02
3.519401157184180562e+01 7.449181817704126161e+02
3.543036473991713109e+01 7.989291117827828259e+01
3.566671790799246367e+01 1.347299275971780617e+02
3.590307107606779624e+01 1.005666451215792563e+02
3.613942424414312882e+01 4.010426747921810033e+02
