# frequency, psd_without_bg
2.314000000000000057e+01 4.040937527421645248e-01
2.337635316807533314e+01 3.050796280411204875e-01
2.361270633615066217e+01 5.475023660751091037e-02
2.384905950422599119e+01 8.702253635869829085e-02
2.408541267230132021e+01 1.955472847604515507e-02
2.432176584037664924e+01 3.963630105754959582e-02
2.455811900845197826e+01 6.244888735758685749e-01
2.479447217652730728e+01 8.078003210418013280e-01
2.503082534460263986e+01 3.854811637575419336e-01
2.526717851267796888e+01 1.464090314158311423e-01
2.550353168075329791e+01 8.887481008133117921e-01
2.573988484882862693e+01 2.329125787989529961e+00
2.597623801690395595e+01 1.030724293603995312e+00
2.621259118497928498e+01 1.287288433193223558e-01
2.644894435305461400e+01 1.121139976860205723e+00
2.668529752112994657e+01 3.554177578321789932e-01
2.692165068920527560e+01 1.596907759403755345e-01
2.715800385728060462e+01 4.726279836780929444e-01
2.739435702535593364e+01 1.259979843375884867e+00
2.763071019343126267e+01 1.015459929994815859e-02
2.786706336150659169e+01 1.631718649324518600e+00
2.810341652958192071e+01 1.764596301808885270e+00
2.833976969765725329e+01 7.236652945751805843e-01
2.857612286573258231e+01 1.286532449053306548e+00
2.881247603380791134e+01 2.600941551860731948e+00
2.904882920188324036e+01 1.565523795647311367e+00
2.928518236995856938e+01 4.879112465872650350e-01
2.952153553803389840e+01 8.508289401073805269e-01
2.975788870610922743e+01 1.013575823463713332e+00
2.999424187418456000e+01 9.872677260483446737e-01
3.023059504225988903e+01 7.263518781831536097e-01
3.046694821033521805e+01 5.225234640192947255e-01
3.070330137841054352e+01 4.291165200393776580e+00
3.093965454648587610e+01 3.525827727056703775e+00
3.117600771456120867e+01 7.446749300510770164e-02
3.141236088263653414e+01 1.753892139824536400e+00
3.164871405071186317e+01 3.378199869812126277e-01
3.188506721878719574e+01 1.112978241112850153e+00
3.212142038686252477e+01 2.695887671497125382e+00
3.235777355493785024e+01 8.618346451989746804e-01
3.259412672301318281e+01 4.448599323980198528e-01
3.283047989108851539e+01 2.238484983791963590e+00
3.306683305916384796e+01 2.096527297903923781e+00
3.330318622723917343e+01 1.781392085418753157e-01
3.353953939531449890e+01 1.301579966184346127e+00
3.377589256338983148e+01 1.869140638388035791e+00
3.401224573146516406e+01 1.217773358461226474e+00
3.424859889954048953e+01 1.669953180692882455e-01
3.448495206761581500e+01 4.959761506970150058e-01
3.472130523569114757e+01 1.026279527329959640e+00
3.495765840376648015e+01 2.405945533244995715e+00
3.519401157184180562e+01 2.915779968928041477e+00
3.543036473991713109e+01 3.167131285848275302e-01
3.566671790799246367e+01 5.409710914164799211e-01
3.590307107606779624e+01 4.090296018604321904e-01
3.613942424414312882e+01 1.652414126353552115e+00
3.637577741221845429e+01 8.543321470093194758e-01
3.661213058029378686e+01 1.500007914357703032e-01
3.684848374836911944e+01 3.220735492316369464e-01
3.708483691644444491e+01 5.076677007541391395e-01
3.732119008451977038e+01 1.749852170322816258e+00
3.755754325259510296e+01 9.234217240532345550e-02
3.779389642067043553e+01 2.767265823769776922e+00
3.803024958874576100e+01 1.622958257692647566e+00
3.826660275682108647e+01 4.401118520469569639e-01
3.850295592489641905e+01 1.911095628526177537e+00
3.873930909297175162e+01 4.665845615361195464e-01
3.897566226104707710e+01 9.211370827994272981e-01
3.921201542912240967e+01 5.671338660355681460e-01
3.944836859719774225e+01 9.873317390990964393e-01
3.968472176527307482e+01 4.146524964620638687e-01
3.992107493334840029e+01 4.855746287490199098e-01
4.015742810142372576e+01 2.293353084882868043e+00
4.039378126949905834e+01 4.207210794018761746e+00
4.063013443757439092e+01 1.328620455314318383e+00
4.086648760564971639e+01 6.499719322478057781e-02
4.110284077372504186e+01 8.078072289575832787e-01
4.133919394180037443e+01 1.167681380810967395e+00
4.157554710987570701e+01 1.025166794534028369e+00
4.181190027795103248e+01 4.485776196177007624e-01
4.204825344602635795e+01 1.513376236134336694e-02
4.228460661410169052e+01 4.537713826727634431e-02
4.252095978217702310e+01 5.499498864163158141e-01
